frame_number,x,y
1233,216,182
1233,172,225
1233,170,88
1233,153,146
1233,102,151
1239,205,185
1239,175,225
1239,176,89
1239,162,147
1239,110,148
1246,195,187
1246,179,226
1246,182,87
1246,173,146
1246,119,144
1250,189,187
1250,181,227
1250,185,87
1250,178,148
1250,124,144
1254,182,185
1254,181,227
1254,187,90
1254,183,148
1254,131,143
1259,172,185
1259,184,223
1259,191,89
1259,190,148
1259,138,141
1297,125,185
1297,195,225
1297,220,94
1297,243,152
1297,198,137
1568,66,132
1568,206,220
1568,207,168
1568,267,218
1568,289,178
1572,69,124
1572,202,214
1572,208,179
1572,263,228
1572,290,186
1574,69,120
1574,203,212
1574,203,184
1574,263,231
1574,288,189
1576,71,119
1576,201,206
1576,201,192
1576,258,233
1576,287,193
1582,77,111
1582,191,195
1582,194,194
1582,249,237
1582,285,200
1596,97,104
1596,178,171
1596,200,236
1596,225,238
1596,270,213
1686,222,231
1686,143,93
1686,126,192
1686,100,107
1686,144,90
1713,236,241
1713,150,98
1713,109,180
1713,88,99
1713,127,77
1945,280,193
1945,104,212
1945,140,123
1945,60,157
1945,64,119
2011,259,171
2011,112,229
2011,174,120
2011,98,175
2011,67,143
2112,194,178
2112,236,140
2112,89,145
2112,148,128
2112,146,175
2124,200,190
2124,176,87
2124,110,210
2124,121,132
2124,164,147
2526,267,131
2526,107,198
2526,135,129
2526,63,180
2526,86,220
2918,174,153
2918,137,232
2918,166,98
2918,143,170
2918,196,183
2926,165,148
2926,136,231
2926,177,102
2926,153,173
2926,205,190
2942,147,136
2942,143,237
2942,187,107
2942,176,190
2942,223,200
2984,120,150
2984,181,243
2984,172,106
2984,204,186
2984,249,178
3086,138,165
3086,110,156
3086,253,140
3086,203,139
3086,210,191
3105,141,169
3105,112,146
3105,255,146
3105,203,136
3105,205,187
3179,125,141
3179,130,143
3179,255,174
3179,230,168
3179,213,215
3207,113,139
3207,154,135
3207,257,188
3207,246,171
3207,221,216
3229,92,149
3229,165,133
3229,256,180
3229,262,158
3229,248,205
3259,63,156
3259,200,137
3259,229,167
3259,280,152
3259,279,199
3267,61,156
3267,209,136
3267,221,168
3267,282,153
3267,284,199
3285,63,156
3285,235,134
3285,193,170
3285,276,153
3285,284,198
3299,73,153
3299,242,134
3299,175,172
3299,267,156
3299,275,201
3310,83,152
3310,250,141
3310,166,165
3310,257,156
3310,263,203
3316,88,151
3316,256,150
3316,168,158
3316,253,155
3316,257,203
3330,101,151
3330,264,162
3330,145,147
3330,241,158
3330,240,203
3342,112,149
3342,259,164
3342,140,147
3342,232,160
3342,228,206
3356,121,142
3356,260,165
3356,132,150
3356,225,165
3356,217,211
3404,141,174
3404,134,212
3404,254,141
3404,217,177
3404,191,134
3783,256,161
3783,169,226
3783,128,97
3783,105,162
3783,68,179
3955,250,172
3955,170,101
3955,89,200
3955,83,143
3955,104,175
3975,255,177
3975,145,227
3975,152,90
3975,110,150
3975,65,153
3987,252,184
3987,98,219
3987,189,123
3987,105,164
3987,78,126
4689,150,179
4689,235,210
4689,106,138
4689,183,168
4689,207,130
4742,157,174
4742,228,216
4742,104,132
4742,175,171
4742,203,135
4893,183,179
4893,240,129
4893,118,215
4893,175,168
4893,143,131
5013,158,179
5013,254,171
5013,101,179
5013,186,170
5013,183,124
