frame_number,x,y
5011,159,181
5011,253,171
5011,100,179
5011,189,168
5011,183,123
5087,158,170
5087,237,209
5087,99,147
5087,178,174
5087,199,135
5129,162,166
5129,187,236
5129,131,107
5129,163,170
5129,210,154
5169,166,167
5169,178,236
5169,135,102
5169,157,170
5169,206,156
5194,172,168
5194,190,233
5194,119,110
5194,152,175
5194,196,149
5278,192,162
5278,205,106
5278,155,238
5278,171,174
5278,125,160
5279,191,161
5279,190,99
5279,173,238
5279,173,171
5279,124,166
5284,187,160
5284,145,97
5284,217,221
5284,178,163
5284,129,184
5293,184,163
5293,99,130
5293,243,170
5293,165,151
5293,149,194
5297,186,163
5297,92,147
5297,242,152
5297,161,148
5297,156,195
5308,181,160
5308,89,169
5308,237,137
5308,158,151
5308,169,199
5335,181,153
5335,89,162
5335,241,144
5335,160,158
5335,165,204
5355,192,149
5355,89,161
5355,240,147
5355,146,162
5355,154,206
5365,200,146
5365,80,164
5365,236,148
5365,135,165
5365,145,209
5373,220,143
5373,86,161
5373,225,150
5373,116,166
5373,126,212
5375,227,142
5375,85,161
5375,217,151
5375,110,168
5375,116,213
5376,233,142
5376,95,161
5376,216,154
5376,104,168
5376,111,211
5379,254,143
5379,92,158
5379,187,155
5379,86,166
5379,91,212
5384,284,154
5384,116,156
5384,119,155
5384,61,154
5384,58,201
5393,233,156
5393,207,160
5393,85,142
5393,115,153
5393,109,199
5400,213,150
5400,231,165
5400,91,141
5400,137,158
5400,129,203
5425,191,143
5425,240,169
5425,94,144
5425,155,168
5425,147,213
6159,271,197
6159,167,93
6159,107,219
6159,83,140
6159,64,125
6783,158,173
6783,247,186
6783,101,172
6783,189,177
6783,190,131
6791,122,169
6791,256,185
6791,120,177
6791,223,188
6791,226,138
6793,67,170
6793,245,174
6793,167,177
6793,277,186
6793,281,135
6794,68,183
6794,189,166
6794,203,173
6794,274,169
6794,278,121
6795,100,185
6795,145,171
6795,258,176
6795,241,169
6795,242,119
6796,121,182
6796,117,173
6796,260,177
6796,220,171
6796,223,123
6798,139,177
6798,102,169
6798,257,183
6798,200,176
6798,204,127
6969,136,188
6969,186,226
6969,220,97
6969,230,153
6969,182,136
6992,116,172
6992,182,232
6992,238,108
6992,249,171
6992,211,147
7263,99,168
7263,185,233
7263,190,94
7263,227,163
7263,267,165
7268,103,168
7268,181,231
7268,186,94
7268,221,161
7268,262,164
7285,118,173
7285,184,232
7285,169,94
7285,205,158
7285,249,157
7415,128,166
7415,230,222
7415,124,132
7415,205,182
7415,233,145
7464,116,162
7464,218,231
7464,144,122
7464,213,185
7464,250,154
7521,77,159
7521,230,225
7521,176,135
7521,257,189
7521,281,153
7526,72,161
7526,235,205
7526,178,160
7526,266,192
7526,281,147
7528,72,162
7528,229,189
7528,185,177
7528,267,190
7528,280,145
7531,68,161
7531,222,175
7531,189,186
7531,273,192
7531,280,144
7532,65,163
7532,233,163
7532,191,202
7532,277,191
7532,280,144
7537,61,165
7537,228,128
7537,212,227
7537,282,182
7537,282,149
7539,59,166
7539,222,119
7539,215,230
7539,283,177
7539,287,148
8361,259,175
8361,175,117
8361,112,225
8361,96,172
8361,71,140
8495,264,160
8495,99,124
8495,176,180
8495,85,151
8495,71,193
8496,267,161
8496,99,130
8496,182,171
8496,83,148
8496,71,193
8497,267,163
8497,106,140
8497,181,160
8497,80,146
8497,74,193
8499,262,163
8499,103,153
8499,179,151
8499,78,143
8499,78,191
8500,265,165
8500,105,161
8500,175,134
8500,77,144
8500,79,189
8514,270,172
8514,103,216
8514,138,92
8514,63,148
8514,77,173
